,date,sum,min,max,mean
4383,1993-01-01,0,-9.0,1.0,-4.0
4384,1993-01-02,0,-9.0,-1.0,-5.0
4385,1993-01-03,0,-4.0,1.0,-1.5
4386,1993-01-04,0,-9.0,0.0,-4.5
4387,1993-01-05,0,-5.0,2.0,-1.5
4388,1993-01-06,0,-4.0,4.0,0.0
4389,1993-01-07,0,-3.0,5.0,1.0
4390,1993-01-08,0,-3.0,8.0,2.5
4391,1993-01-09,0,-4.0,5.0,0.5
4392,1993-01-10,0,-6.0,0.0,-3.0
4393,1993-01-11,0,-1.0,3.0,1.0
4394,1993-01-12,0,2.0,5.0,3.5
4395,1993-01-13,0,-1.0,5.0,2.0
4396,1993-01-14,0,0.0,8.0,4.0
4397,1993-01-15,0,-2.0,8.0,3.0
4398,1993-01-16,0,-3.0,7.0,2.0
4399,1993-01-17,0,-5.0,1.0,-2.0
4400,1993-01-18,0,-2.0,1.0,-0.5
4401,1993-01-19,0,-3.0,3.0,0.0
4402,1993-01-20,0,-3.0,5.0,1.0
4403,1993-01-21,0,-4.0,4.0,0.0
4404,1993-01-22,0,-4.0,5.0,0.5
4405,1993-01-23,0,-2.0,2.0,0.0
4406,1993-01-24,0,-1.0,3.0,1.0
4407,1993-01-25,0,1.0,12.0,6.5
4408,1993-01-26,0,-5.0,7.0,1.0
4409,1993-01-27,0,-5.0,9.0,2.0
4410,1993-01-28,0,-6.0,7.0,0.5
4411,1993-01-29,0,-4.0,7.0,1.5
4412,1993-01-30,0,-5.0,8.0,1.5
4413,1993-01-31,0,-4.0,5.0,0.5
4414,1993-02-01,0,-3.0,7.0,2.0
4415,1993-02-02,0,-4.0,6.0,1.0
4416,1993-02-03,0,-2.0,7.0,2.5
4417,1993-02-04,0,-3.0,8.0,2.5
4418,1993-02-05,0,-4.0,6.0,1.0
4419,1993-02-06,0,-2.0,7.0,2.5
4420,1993-02-07,0,-1.0,11.0,5.0
4421,1993-02-08,0,-4.0,5.0,0.5
4422,1993-02-09,0,-5.0,10.0,2.5
4423,1993-02-10,0,-5.0,6.0,0.5
4424,1993-02-11,0,-3.0,5.0,1.0
4425,1993-02-12,0,-5.0,6.0,0.5
4426,1993-02-13,0,-4.0,7.0,1.5
4427,1993-02-14,0,-4.0,7.0,1.5
4428,1993-02-15,0,-6.0,7.0,0.5
4429,1993-02-16,0,-1.0,6.0,2.5
4430,1993-02-17,0,-4.0,4.0,0.0
4431,1993-02-18,0,-6.0,11.0,2.5
4432,1993-02-19,0,-4.0,8.0,2.0
4433,1993-02-20,0,-1.0,11.0,5.0
4434,1993-02-21,0,-2.0,7.0,2.5
4435,1993-02-22,0.2,-2.0,4.0,1.0
4436,1993-02-23,0,-3.0,2.0,-0.5
4437,1993-02-24,0,-3.0,5.0,1.0
4438,1993-02-25,0,-5.0,8.0,1.5
4439,1993-02-26,0,-5.0,7.0,1.0
4440,1993-02-27,0,-5.0,7.0,1.0
4441,1993-02-28,0,-2.0,5.0,1.5
4442,1993-03-01,6.8,1.0,5.0,3.0
4443,1993-03-02,0,1.0,8.0,4.5
4444,1993-03-03,0,1.0,9.0,5.0
4445,1993-03-04,0,0.0,10.0,5.0
4446,1993-03-05,0,-1.0,7.0,3.0
4447,1993-03-06,0,-5.0,14.0,4.5
4448,1993-03-07,0,-2.0,13.0,5.5
4449,1993-03-08,0,-2.0,12.0,5.0
4450,1993-03-09,0,-5.0,12.0,3.5
4451,1993-03-10,0,-3.0,12.0,4.5
4452,1993-03-11,0,-2.0,15.0,6.5
4453,1993-03-12,0,-1.0,14.0,6.5
4454,1993-03-13,0,1.0,15.0,8.0
4455,1993-03-14,0,4.0,15.0,9.5
4456,1993-03-15,0,3.0,17.0,10.0
4457,1993-03-16,0,-1.0,20.0,9.5
4458,1993-03-17,0,0.0,27.0,13.5
4459,1993-03-18,0,5.0,26.0,15.5
4460,1993-03-19,0,5.0,25.0,15.0
4461,1993-03-20,0,5.0,23.0,14.0
4462,1993-03-21,0,3.0,20.0,11.5
4463,1993-03-22,0,9.0,17.0,13.0
4464,1993-03-23,0,9.0,16.0,12.5
4465,1993-03-24,0.4,7.0,13.0,10.0
4466,1993-03-25,4.8,6.0,11.0,8.5
4467,1993-03-26,0,3.0,18.0,10.5
4468,1993-03-27,0,0.0,10.0,5.0
4469,1993-03-28,0,2.0,10.0,6.0
4470,1993-03-29,0,-1.0,13.0,6.0
4471,1993-03-30,0,-1.0,15.0,7.0
4472,1993-03-31,0,-3.0,16.0,6.5
4473,1993-04-01,0,-1.0,17.0,8.0
4474,1993-04-02,0,6.0,19.0,12.5
4475,1993-04-03,0,6.0,15.0,10.5
4476,1993-04-04,3.8,4.0,12.0,8.0
4477,1993-04-05,4.6,6.0,20.0,13.0
4478,1993-04-06,0,3.0,21.0,12.0
4479,1993-04-07,0,3.0,30.0,16.5
4480,1993-04-08,0,6.0,23.0,14.5
4481,1993-04-09,0,4.0,19.0,11.5
4482,1993-04-10,0,6.0,15.0,10.5
4483,1993-04-11,6.2,6.0,14.0,10.0
4484,1993-04-12,29.2,5.0,13.0,9.0
4485,1993-04-13,3,6.0,11.0,8.5
4486,1993-04-14,3.2,5.0,26.0,15.5
4487,1993-04-15,0,6.0,18.0,12.0
4488,1993-04-16,0,3.0,23.0,13.0
4489,1993-04-17,0,5.0,21.0,13.0
4490,1993-04-18,0,2.0,22.0,12.0
4491,1993-04-19,0,7.0,21.0,14.0
4492,1993-04-20,0,5.0,24.0,14.5
4493,1993-04-21,0,11.0,22.0,16.5
4494,1993-04-22,0,6.0,24.0,15.0
4495,1993-04-23,0,5.0,24.0,14.5
4496,1993-04-24,0,8.0,24.0,16.0
4497,1993-04-25,0,10.0,19.0,14.5
4498,1993-04-26,0.8,10.0,24.0,17.0
4499,1993-04-27,0,7.0,27.0,17.0
4500,1993-04-28,0.6,12.0,19.0,15.5
4501,1993-04-29,2.8,11.0,23.0,17.0
4502,1993-04-30,0,11.0,17.0,14.0
4503,1993-05-01,3.4,6.0,18.0,12.0
4504,1993-05-02,0.4,7.0,22.0,14.5
4505,1993-05-03,1.6,7.0,23.0,15.0
4506,1993-05-04,0,10.0,26.0,18.0
4507,1993-05-05,3,9.0,26.0,17.5
4508,1993-05-06,2,9.0,22.0,15.5
4509,1993-05-07,2.2,10.0,22.0,16.0
4510,1993-05-08,0,9.0,24.0,16.5
4511,1993-05-09,0.4,10.0,25.0,17.5
4512,1993-05-10,0,12.0,27.0,19.5
