Circoscrizione Name,Celtis australis,Aesculus hippocastanum,Carpinus betulus,Tilia cordata,Platanus x hispanica,Other,Total
S GIUSEPPE S CHIARA,2.744708995,13.39285714,4.067460317,1.025132275,1.752645503,77.01719577,100
CENTRO STORICO PIEDICASTELLO,8.164642375,3.070175439,5.36437247,1.85560054,6.477732794,75.06747638,100
OLTREFERSINA,12.65306122,1.261595547,4.675324675,4.304267161,1.150278293,75.9554731,100
GARDOLO,12.78013325,0.242277408,3.210175651,13.08298001,10.23622047,60.4482132,100
ARGENTARIO,13.43612335,1.982378855,3.964757709,1.101321586,2.643171806,76.8722467,100
VILLAZZANO,4.567307692,0,7.932692308,8.413461538,0.721153846,78.36538462,100
RAVINA-ROMAGNANO,4.702194357,0.940438871,1.567398119,10.65830721,7.210031348,74.92163009,100
BONDONE,0.342465753,7.191780822,1.02739726,3.082191781,0.684931507,87.67123288,100
MATTARELLO,9.46969697,0.378787879,4.924242424,2.272727273,2.272727273,80.68181818,100
MEANO,4.368932039,0,0.970873786,0.485436893,4.368932039,89.80582524,100
POVO,11.11111111,6.878306878,0.529100529,0.529100529,1.058201058,79.89417989,100
SARDAGNA,0,0,0,0,0,100,100
