Name,Height (m),Crown Height (m),Crown Width (m),Canopy Cover (m2),Leaf Area (m2),Carbon Storage (kg)
Acer pseudoplatanus,3.5,1,1.5,1.8,3.5,12
Acer pseudoplatanus,5,1.5,1.5,1.8,4.2,12.9
Acer pseudoplatanus,4.5,1.3,1.5,1.8,4,16.2
Acer pseudoplatanus,5,1.5,2.5,4.9,7.1,25.7
Cupressus,8,2.4,1.5,1.8,6.6,448.2
Acer pseudoplatanus,4.5,1.3,1.5,1.8,4.2,16.2
Acer pseudoplatanus,4,1.2,2,3.1,4.8,20
Acer pseudoplatanus,4,1.2,2,3.1,5.8,20
Acer pseudoplatanus,3.5,1,1.5,1.8,3.9,15.5
Acer pseudoplatanus,5,1.5,2,3.1,6.2,20.9
Acer platanoides,5,1.5,2.5,4.9,9.300000000000001,21.3
Acer pseudoplatanus,4,1.2,2,3.1,4.7,12.3
Acer platanoides,5,1.5,2,3.1,6.7,16.9
Acer pseudoplatanus,3,0.9,1.5,1.8,2.9,15.1
Acer pseudoplatanus,4,1.2,2,3.1,4.4,20
Acer pseudoplatanus,4.5,1.3,1.5,1.8,4.2,16.2
Sophora japonica,5,1.5,2,3.1,4,33.5
Tilia cordata,4.5,1.3,3,7.1,9.5,8.9
Tilia cordata,5,1.5,3,7.1,13.3,18.8
Tilia cordata,5,1.5,3,7.1,11.8,18.8
Tilia cordata,4,1.2,2,3.1,4.9,6.5
Tilia cordata,6,1.8,6,28.3,71.40000000000001,60
Tilia cordata,7,2.1,6,28.3,73.3,52.4
Tilia cordata,7,2.1,6,28.3,69.09999999999999,52.4
Tilia cordata,7,2.1,5,19.6,34.4,33.2
Acer pseudoplatanus,4,1.2,3,7.1,6.2,4.4
Acer pseudoplatanus,6,1.8,3,7.1,9.699999999999999,32.2
Acer pseudoplatanus,6,1.8,3.5,9.6,16.5,32.2
Acer pseudoplatanus,5,1.5,2.5,4.9,7.1,16.6
Acer pseudoplatanus,5,1.5,2.5,4.9,7.9,20.9
Acer pseudoplatanus,5,1.5,2.5,4.9,7.4,20.9
Acer pseudoplatanus,5,1.5,2,3.1,3.5,2.9
Acer pseudoplatanus,5,1.5,3,7.1,8.5,20.9
Acer pseudoplatanus,5,1.5,3,7.1,11.8,31.1
Acer pseudoplatanus,5,1.5,1,0.8,1.6,0.6
Acer pseudoplatanus,5,1.5,2,3.1,4,2.9
Acer campestre,6,1.8,2,3.1,5.2,5
Acer campestre,8,2.4,2,3.1,7.2,14.8
Acer campestre,4,1.2,3,7.1,10.4,20.4
Acer tataricum ssp. ginnala,4,1.2,2,3.1,3.2,5.3
Acer tataricum ssp. ginnala,4,1.2,2,3.1,3.2,5.3
Fagus,4.5,1.3,1.5,1.8,3.6,18.6
Fagus,4.5,1.3,1.5,1.8,3,18.6
Fagus,4.5,1.3,1.5,1.8,3.4,25.4
Fagus,4.5,1.3,1.5,1.8,3.8,25.4
Fagus,4.5,1.3,1.5,1.8,2.9,25.4
Fagus,4.5,1.3,1.5,1.8,3.8,25.4
Fagus,3.5,1,2,3.1,4.2,25.4
Fagus,4.5,1.3,1.5,1.8,3.6,18.6
Acer campestre,5,1.5,2,3.1,5.2,7
Acer opalus,5,1.5,2,3.1,5.2,13.5
Tilia cordata,4.5,1.3,3,7.1,10.8,8.9
Tilia cordata,4.5,1.3,2.5,4.9,7.2,15
Tilia cordata,4.5,1.3,1,0.8,3,8.9
Tilia cordata,4.5,1.3,2,3.1,6.4,8.9
Tilia cordata,5,1.5,3,7.1,13.3,18.8
Tilia cordata,5,1.5,3,7.1,13.3,18.8
Tilia cordata,5,1.5,3,7.1,12.5,18.8
Tilia cordata,4.5,1.3,3,7.1,11.5,8.9
Tilia cordata,2,0.6,1,0.8,1.4,8.9
Sophora japonica,5,1.5,2,3.1,4.2,13.2
Sophora japonica,5,1.5,2,3.1,4.2,13.2
Tilia cordata,4.5,1.3,2,3.1,4.7,6.5
Tilia cordata,4.5,1.3,2,3.1,5.8,6.5
Tilia cordata,5,1.5,3,7.1,13.3,18.8
Tilia cordata,5,1.5,3,7.1,11,18.8
Tilia cordata,4.5,1.3,2.5,4.9,9,11.7
Tilia cordata,4.5,1.3,2.5,4.9,8.300000000000001,15
Tilia cordata,4.5,1.3,2.5,4.9,8.300000000000001,15
Tilia cordata,5,1.5,2.5,4.9,8,15
Tilia cordata,4.5,1.3,2.5,4.9,9.300000000000001,15
Tilia cordata,5,1.5,2.5,4.9,10,18.8
Tilia cordata,5,1.5,2.5,4.9,7.7,18.8
Tilia cordata,5,1.5,2.5,4.9,7.7,18.8
Tilia cordata,5,1.5,3,7.1,13.3,18.8
Tilia cordata,5,1.5,3,7.1,11,18.8
Tilia cordata,5,1.5,3,7.1,10.2,18.8
Tilia cordata,5,1.5,2.5,4.9,7.7,18.8
Tilia cordata,5,1.5,2.5,4.9,8.9,18.8
Sorbus,5,1.5,4,12.6,18.4,131.7
Sorbus,5,1.5,3,7.1,8.9,131.7
Sorbus,5,1.5,4,12.6,18.4,131.7
Sorbus,5,1.5,4,12.6,18.4,131.7
Sorbus,4,1.2,3,7.1,8.699999999999999,48.9
Tilia cordata,6,1.8,4,12.6,24.1,27.9
Tilia cordata,6,1.8,4,12.6,25.5,27.9
Tilia cordata,6,1.8,5,19.6,47.2,68.2
Cupressus,10,3,1,0.8,4.3,143.6
