Name,DBH (cm),Replacement Value (eur),Carbon Storage (kg),Carbon Storage (eur),Gross Carbon Sequestration (kg/yr),Gross Carbon Sequestration (eur/yr),Avoided Runoff (mcube/yr),Avoided Runoff (eur/yr),Carbon Avoided (kg/yr),Carbon Avoided (eur/yr),Pollution Removal (g/yr),Pollution Removal (eur/yr),Energy Savings (eur/yr),Total Annual Benefits (eur/yr),Oxygen Production (kg/yr),Height (m),Crown Height (m),Crown Width (m),Canopy Cover (m2),Leaf Area (m2),Leaf Biomass (kg),Latitude,Longitude,geometry,Count
Celtis australis,16,667.22,19.6,3.14,0.8,0.14,0.1,0.15,,,63.7,0.33,,0.62,2.3,6,1.8,6,28.3,43.9,2.6,46.04174984232218,11.14152897453853,POINT (11.14152897453853 46.04174984232218),1
Celtis australis,16,667.22,19.6,3.14,0.8,0.14,0.1,0.2,,,82.7,0.43,,0.76,2.3,6,1.8,6,28.3,57,3.4,46.04178686132573,11.14156594799297,POINT (11.14156594799297 46.04178686132573),1
Celtis australis,166,22794.92,1075.4,172.78,0.1,0.02,0.2,0.4,,,167.2,0.86,,1.28,0.3,6,1.8,6,28.3,115.3,6.8,46.04159882584267,11.14155234658872,POINT (11.14155234658872 46.04159882584267),1
Celtis australis,14,585.59,15.6,2.5,0.8,0.12,0.1,0.12,,,49.8,0.26,,0.5,2.1,5.5,1.7,5,19.6,34.3,2,46.04152503825495,11.14157547263655,POINT (11.14157547263655 46.04152503825495),1
Celtis australis,16,667.22,19.6,3.14,0.8,0.14,0.1,0.19,,,79.8,0.41,,0.74,2.3,6.5,1.9,6,28.3,55,3.2,46.04148244292859,11.14163431272683,POINT (11.14163431272683 46.04148244292859),1
Celtis australis,19,810.0599999999999,26.3,4.22,1,0.15,0.1,0.13,,,52.6,0.27,,0.55,2.6,4.5,1.3,5,19.6,36.2,2.1,46.0414870131551,11.14141451465746,POINT (11.14141451465746 46.0414870131551),1
Celtis australis,17,712.11,21.7,3.49,0.9,0.14,0.1,0.11,,,46,0.24,,0.49,2.4,5,1.5,5,19.6,31.7,1.9,46.04154875603852,11.14139053513321,POINT (11.14139053513321 46.04154875603852),1
Celtis australis,17,712.11,21.7,3.49,0.9,0.14,0.1,0.12,,,50.6,0.26,,0.52,2.4,4.5,1.3,5,19.6,34.9,2.1,46.0416097752956,11.1413763502196,POINT (11.1413763502196 46.0416097752956),1
Celtis australis,15,625.04,17.5,2.81,0.8,0.13,0.1,0.12,,,48.4,0.25,,0.49,2.2,4.5,1.3,5,19.6,33.3,2,46.05991357674008,11.15402285720796,POINT (11.15402285720796 46.05991357674008),1
Celtis australis,15,625.04,17.5,2.81,0.8,0.13,0,0.07000000000000001,,,28.7,0.15,,0.35,2.2,4,1.2,4,12.6,19.8,1.2,46.01150949270279,11.13353178824412,POINT (11.13353178824412 46.01150949270279),1
Celtis australis,14,585.59,15.6,2.5,0.8,0.12,0,0.05,,,21.6,0.11,,0.29,2.1,4,1.2,4,12.6,14.9,0.9,46.01147026029894,11.13344450696613,POINT (11.13344450696613 46.01147026029894),1
