,year,month,min,max,mean
0,1993,January,-9.0,12.0,0.43548387096774194
1,1993,February,-6.0,11.0,1.6428571428571428
2,1993,March,-5.0,27.0,8.0
3,1993,April,-1.0,30.0,13.183333333333334
4,1993,May,6.0,34.0,17.983870967741936
5,1993,June,10.0,32.0,20.966666666666665
6,1993,July,8.0,32.0,21.580645161290324
7,1993,August,7.0,37.0,23.161290322580644
8,1993,September,6.0,29.0,16.8
9,1993,October,-1.0,21.0,10.64516129032258
10,1993,November,-7.0,16.0,4.85
11,1993,December,-11.0,10.0,0.3064516129032258
12,1997,January,-6.0,8.0,1.2419354838709677
13,1997,February,-7.0,14.0,3.3392857142857144
14,1997,March,-2.0,25.0,10.161290322580646
15,1997,April,-1.0,26.0,11.7
16,1997,May,5.0,32.0,17.048387096774192
17,1997,June,8.0,32.0,19.55
18,1997,July,9.0,33.0,21.403225806451612
19,1997,August,10.0,35.0,22.580645161290324
20,1997,September,6.0,33.0,19.7
21,1997,October,-5.0,26.0,11.016129032258064
22,1997,November,-3.0,16.0,5.333333333333333
23,1997,December,-7.0,13.0,2.1451612903225805
24,2001,January,-8.0,9.0,1.3225806451612903
25,2001,February,-6.0,14.0,4.071428571428571
26,2001,March,-1.0,22.0,9.790322580645162
27,2001,April,0.0,24.0,11.366666666666667
28,2001,May,7.0,34.0,19.43548387096774
29,2001,June,6.0,34.0,20.033333333333335
30,2001,July,12.0,36.0,23.56451612903226
31,2001,August,10.0,34.0,23.451612903225808
32,2001,September,3.0,28.0,15.316666666666666
33,2001,October,5.0,22.0,13.451612903225806
34,2001,November,-6.0,17.0,3.7
35,2001,December,-11.0,13.0,-0.9193548387096774
36,2005,January,-6.7,11.0,0.7161290322580645
37,2005,February,-6.8,12.2,2.4714285714285715
38,2005,March,-8.2,26.2,8.51290322580645
39,2005,April,2.9,27.3,13.003333333333334
40,2005,May,7.4,32.8,18.99516129032258
41,2005,June,10.0,37.3,23.258333333333333
42,2005,July,12.8,35.6,23.71451612903226
43,2005,August,12.2,33.2,21.906451612903226
44,2005,September,9.6,32.5,19.398333333333333
45,2005,October,2.9,19.6,12.100000000000001
46,2005,November,-4.8,14.6,5.425
47,2005,December,-9.6,8.8,-0.3758064516129031
48,2009,January,-8.9,10.2,1.4596774193548387
49,2009,February,-4.8,16.7,4.130357142857143
50,2009,March,-0.6,19.2,8.77258064516129
51,2009,April,6.0,25.2,14.058333333333334
52,2009,May,9.5,33.6,20.080645161290324
53,2009,June,10.0,31.7,21.53666666666667
54,2009,July,13.1,33.9,22.940322580645162
55,2009,August,13.4,33.5,24.125806451612902
56,2009,September,10.0,30.1,19.235
57,2009,October,0.6,24.7,12.985483870967743
58,2009,November,-1.4,14.0,7.411666666666666
59,2009,December,-9.5,12.2,2.1629032258064513
60,2013,January,-3.3,17.7,3.1500000000000004
61,2013,February,-3.4,12.6,3.130357142857143
62,2013,March,-0.8,16.0,7.446774193548387
63,2013,April,3.5,26.8,13.911666666666667
64,2013,May,5.1,26.5,15.824193548387097
65,2013,June,10.1,33.4,20.761666666666667
66,2013,July,13.7,35.8,24.82741935483871
67,2013,August,13.3,36.0,23.60483870967742
68,2013,September,9.3,29.5,18.790000000000003
69,2013,October,5.2,20.1,13.793548387096774
70,2013,November,-4.4,17.6,8.556666666666667
71,2013,December,-3.5,15.5,4.130645161290323
72,2017,January,-7.7,9.3,0.682258064516129
73,2017,February,-0.8,13.8,6.458928571428571
74,2017,March,1.2,24.0,12.114516129032259
75,2017,April,3.6,24.0,13.881666666666666
76,2017,May,5.8,31.2,18.78548387096774
77,2017,June,9.8,33.7,23.245
78,2017,July,12.2,33.7,23.456451612903226
79,2017,August,13.4,35.5,23.62741935483871
80,2017,September,7.1,25.9,16.631666666666668
81,2017,October,2.4,21.3,13.530645161290321
82,2017,November,-3.5,13.8,6.551666666666666
83,2017,December,-6.7,10.1,1.182258064516129
84,2021,January,-9.4,8.2,0.019354838709677406
85,2021,February,-4.4,18.9,5.823214285714286
86,2021,March,-1.5,25.3,8.901612903225805
87,2021,April,-0.7,25.6,11.826666666666666
88,2021,May,7.0,26.6,15.774193548387096
89,2021,June,13.1,33.6,23.658333333333335
90,2021,July,14.4,33.5,23.04032258064516
91,2021,August,9.6,32.9,21.388709677419353
92,2021,September,11.1,29.7,19.578333333333333
93,2021,October,1.7,22.0,11.94516129032258
94,2021,November,-2.3,14.1,7.1433333333333335
95,2021,December,-5.7,11.5,2.8403225806451613
